,G,p,budget,from_cache,method,trial_id,I_size,v1_size,v2_size,num_cross_edges,maxD,mip_value,min_exposed_value,duration,v1_objective,greedy_overlap
51,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,mip_gurobi,0,1584,7527,12026,19278,27,99.02595956416643,143.0,1.801214957027696,846.4611357022759,66
52,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,greedy_weighted,0,1584,7527,12026,19278,27,100.04508878069186,148.2,0.04107241198653355,846.4611357022759,-1
53,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,random,1,3014,28425,29804,130469,44,529.1195095638096,1359.4,5.157685086975107,4542.969721919793,1
54,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,dependent,1,1584,7527,12026,19278,27,99.81317989306822,143.6,1.3615172900026664,846.4611357022759,61
55,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,greedy_weighted,1,3014,28425,29804,130469,44,508.97630321432695,1311.2,0.6998111980210524,4542.969721919793,-1
56,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,greedy_weighted,1,1584,7527,12026,19278,27,100.04508878069186,145.6,0.04470724199200049,846.4611357022759,-1
57,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,mip_gurobi,1,1584,7527,12026,19278,27,99.02595956416643,151.6,1.7555679109937046,846.4611357022759,66
58,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,dependent,1,3014,28425,29804,130469,44,510.49922827478457,1380.6,8.576213160005862,4542.969721919793,43
59,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,dependent,0,3014,28425,29804,130469,44,509.4650125826377,1350.4,9.99358150199987,4542.969721919793,47
60,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,random,0,1571,19199,37986,149737,55,537.4750805334759,1357.2,4.270621661999029,2555.345209230935,0
61,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,mip_gurobi,0,3114,28438,29580,130230,45,492.1245842295469,1274.8,14.114503779012013,4521.7767861952225,55
62,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,mip_gurobi,1,3114,28438,29580,130230,45,492.1245842295469,1348.2,12.882347979000768,4521.7767861952225,55
63,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,random,1,1571,19199,37986,149737,55,537.4328593951893,1360.2,4.2741578569985,2555.345209230935,0
64,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,greedy_weighted,0,1571,19199,37986,149737,55,506.09593963872214,1307.0,0.20548538098228164,2555.345209230935,-1
65,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,greedy_weighted,1,1571,19199,37986,149737,55,506.09593963872214,1285.0,0.19701389799593014,2555.345209230935,-1
66,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,mip_gurobi,0,3014,28425,29804,130469,44,503.8394093031765,1353.2,14.899368243000936,4542.969721919793,57
67,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,mip_gurobi,1,3014,28425,29804,130469,44,503.8394093031765,1317.6,18.047081169002922,4542.969721919793,57
68,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,random,0,5181,31140,21397,79421,38,429.6572352296998,976.8,5.397546025982592,5940.560420450545,0
69,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,random,1,2393,11016,13992,25342,31,146.08284831288856,233.0,2.1025698869780167,1362.6023468314852,1
70,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,random,1,5181,31140,21397,79421,38,429.73714529075136,995.4,4.921377609018236,5940.560420450545,1
71,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,greedy_weighted,0,5181,31140,21397,79421,38,416.6771143157882,929.6,1.154369638999924,5940.560420450545,-1
72,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,random,0,2393,11016,13992,25342,31,145.94520142252296,232.6,1.6070517920015843,1362.6023468314852,3
73,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,random,0,3788,29469,26469,110302,40,484.2802640779589,1237.4,6.4712194520107005,4976.517014785405,1
74,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,dependent,1,5181,31140,21397,79421,38,416.200282962275,972.6,12.253068767982766,5940.560420450545,32
75,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,random,1,3788,29469,26469,110302,40,484.9141965497148,1251.6,8.338191332004499,4976.517014785405,1
76,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,greedy_weighted,1,5181,31140,21397,79421,38,416.6771143157882,961.4,1.4888521160173696,5940.560420450545,-1
77,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,dependent,0,2393,11016,13992,25342,31,137.15796310135,203.6,4.214881122024963,1362.6023468314852,49
78,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,dependent,1,1571,19199,37986,149737,55,508.68356177688554,1268.4,26.37711058498826,2555.345209230935,48
79,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,mip_gurobi,0,2393,11016,13992,25342,31,135.5627831326737,214.2,4.308854419999989,1362.6023468314852,61
80,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,greedy_weighted,0,3788,29469,26469,110302,40,469.01807687278284,1197.8,0.9979987159895244,4976.517014785405,-1
81,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,dependent,1,2393,11016,13992,25342,31,137.33503416356336,214.8,4.115759515989339,1362.6023468314852,54
82,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,dependent,0,3788,29469,26469,110302,40,468.9676845682409,1204.2,11.975879963982154,4976.517014785405,37
83,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,greedy_weighted,0,2393,11016,13992,25342,31,137.11367054875515,201.6,0.2138602490013,1362.6023468314852,-1
84,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,dependent,0,1571,19199,37986,149737,55,506.2328618367405,1268.4,25.361992371996173,2555.345209230935,50
85,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,greedy_weighted,1,3788,29469,26469,110302,40,469.01807687278284,1197.4,0.9525319369859062,4976.517014785405,-1
86,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,mip_gurobi,1,2393,11016,13992,25342,31,135.5627831326737,208.4,3.3585502869973425,1362.6023468314852,61
87,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,greedy_weighted,1,2393,11016,13992,25342,31,137.11367054875515,199.2,1.5086353390070144,1362.6023468314852,-1
88,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,dependent,1,3788,29469,26469,110302,40,469.14411260529295,1207.4,11.55818188600824,4976.517014785405,34
89,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,mip_gurobi,1,1571,19199,37986,149737,55,500.72116928042124,1339.2,25.933745952002937,2555.345209230935,63
90,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,mip_gurobi,0,5181,31140,21397,79421,38,411.70145815774873,925.2,15.246436251996784,5940.560420450545,42
91,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,dependent,0,5181,31140,21397,79421,38,414.5497878248931,967.2,14.182846001000145,5940.560420450545,36
92,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,random,0,2465,10920,13625,24940,30,143.85190429904415,225.4,1.173691150994273,1367.9067003959199,0
93,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,random,1,2465,10920,13625,24940,30,143.52040149855256,218.8,1.1856684789818246,1367.9067003959199,2
94,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,greedy_weighted,0,2465,10920,13625,24940,30,133.9427842654491,197.0,0.0629440339980647,1367.9067003959199,-1
95,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,mip_gurobi,0,1571,19199,37986,149737,55,500.72116928042124,1305.0,27.408923245995542,2555.345209230935,63
