,G,p,budget,from_cache,method,trial_id_x,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP_x,v1_sum_values,min_exposed_mean,min_exposed_stddev,updated_min_exposed_value,trial_id_y,optimal_MIP_value,mip_ratio
13484,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb14.json,dependent,1,107.6193643953426,596,32,2693,12204,14133,26255,4.399484195997502,1704.7524883670171,1597.1331239716744,183.2,22.208106627986094,1780.3331239716745,0,1699.9616996200464,1.002818174520074
13485,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb14.json,greedy_weighted,1,109.1809139465608,-1,32,2693,12204,14133,26255,0.10058388199831823,1706.3140379182355,1597.1331239716744,157.0,15.394804318340652,1754.1331239716744,0,1699.9616996200464,1.0037367537748696
13486,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb14.json,mip_gurobi,0,102.82857564837185,682,32,2693,12204,14133,26255,3.375788614001067,1699.9616996200464,1597.1331239716744,157.0,11.0227038425243,1754.1331239716744,0,1699.9616996200464,1.0
13487,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb14.json,mip_gurobi,1,102.82857564837185,682,32,2693,12204,14133,26255,3.892325763001281,1699.9616996200464,1597.1331239716744,153.8,6.870225614927068,1750.9331239716746,0,1699.9616996200464,1.0
13488,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb11.json,random,0,315.79047313324975,31,26,5911,27957,17095,48791,5.573434435998934,5665.791483628168,5350.001010494918,626.0,26.410225292488512,5976.001010494918,0,5593.808100526483,1.0128684041011184
13489,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb11.json,random,1,315.6714421661207,40,26,5911,27957,17095,48791,4.848261558003287,5665.672452661039,5350.001010494918,602.8,30.25227264190245,5952.801010494918,0,5593.808100526483,1.0128471250430975
13490,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb11.json,greedy_weighted,1,260.3440386573572,-1,26,5911,27957,17095,48791,0.8849760729972331,5610.345049152275,5350.001010494918,465.0,9.433981132056603,5815.001010494918,0,5593.808100526483,1.002956295305203
13491,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb11.json,greedy_weighted,0,260.3440386573572,-1,26,5911,27957,17095,48791,0.3691772509992006,5610.345049152275,5350.001010494918,468.8,19.070920271449932,5818.801010494918,0,5593.808100526483,1.002956295305203
13492,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb11.json,dependent,1,255.419974483359,483,26,5911,27957,17095,48791,8.444977922998076,5605.420984978277,5350.001010494919,491.8,19.77877650412179,5841.80101049492,0,5593.808100526483,1.0020760248194251
13493,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb11.json,dependent,0,256.5329329849344,487,26,5911,27957,17095,48791,6.701739263000491,5606.533943479853,5350.001010494919,505.6,38.772412873072525,5855.601010494919,0,5593.808100526483,1.0022749874011896
13494,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb11.json,mip_gurobi,0,243.80709003156483,562,26,5911,27957,17095,48791,15.714221048998294,5593.808100526483,5350.001010494918,496.8,28.8738636140022,5846.801010494918,0,5593.808100526483,1.0
13495,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb11.json,mip_gurobi,1,243.80709003156483,562,26,5911,27957,17095,48791,18.61346377299924,5593.808100526483,5350.001010494918,490.2,36.77227216259556,5840.201010494919,0,5593.808100526483,1.0
