,G,p,method,budget,from_cache,value,isOptimal,maxD,duration,I_size
6620,montgomery,0.078,weighted,600,ab12.json,2951.8851538337617,-1,31,3.9740526676177983,4462
6621,montgomery,0.078,weighted,600,ab12.json,2951.8851538337617,-1,31,4.555657625198363,4462
6622,montgomery,0.078,weighted,600,ya13.json,1114.7097932854022,-1,24,1.7424683570861816,2099
6623,montgomery,0.078,weighted,600,pb8.json,5192.917424387741,-1,39,6.978902578353883,3521
6624,montgomery,0.078,weighted,600,pb8.json,5192.917424387741,-1,39,6.613619565963745,3521
6625,montgomery,0.078,weighted,600,ya13.json,1114.7097932854022,-1,24,1.883270263671875,2099
6626,montgomery,0.078,weighted,600,ba16.json,267.71044673248815,-1,31,0.4027578830718994,577
6627,montgomery,0.078,weighted,600,zb6.json,2645.368857677237,-1,57,5.367735385894775,1375
6628,montgomery,0.078,weighted,600,tb14.json,895.5437860744577,-1,30,1.5176048278808594,1677
6629,montgomery,0.078,weighted,600,za12.json,2860.4813295581594,-1,29,3.7869141101837163,4434
6630,montgomery,0.078,weighted,600,ba16.json,267.71044673248815,-1,31,0.4162335395812988,577
6631,montgomery,0.078,weighted,600,tb14.json,895.5437860744577,-1,30,1.2934813499450684,1677
6632,montgomery,0.078,weighted,600,za12.json,2860.4813295581594,-1,29,3.899338483810425,4434
6633,montgomery,0.078,weighted,600,zb6.json,2645.368857677237,-1,57,6.1055548191070566,1375
6634,montgomery,0.078,weighted,600,da9.json,5741.145667279681,-1,40,7.0896711349487305,4269
6635,montgomery,0.078,weighted,600,kb16.json,348.0929358279576,-1,29,0.8184809684753418,740
6636,montgomery,0.078,weighted,600,da9.json,5741.145667279681,-1,40,7.28902006149292,4269
6637,montgomery,0.078,weighted,600,kb16.json,348.0929358279576,-1,29,0.4828066825866699,740
6638,montgomery,0.078,weighted,600,bb11.json,3681.183347976316,-1,24,6.59296441078186,5197
6639,montgomery,0.078,weighted,600,bb11.json,3681.183347976316,-1,24,6.373988628387451,5197
6640,montgomery,0.078,weighted,600,pa14.json,505.2236016384132,-1,29,0.6640195846557617,1076
6641,montgomery,0.078,weighted,600,pa14.json,505.2236016384132,-1,29,0.9358754158020021,1076
6642,montgomery,0.078,weighted,600,sb10.json,5985.290981395568,-1,32,9.784284353256227,5316
6643,montgomery,0.078,weighted,600,sa15.json,624.7505756165934,-1,27,1.1893298625946045,1235
6644,montgomery,0.078,weighted,600,sb10.json,5985.290981395568,-1,32,10.175284385681152,5316
6645,montgomery,0.078,weighted,600,sa15.json,624.7505756165934,-1,27,0.9299883842468262,1235
6646,montgomery,0.078,weighted,600,pb14.json,886.9184497596844,-1,29,1.1869077682495115,1712
6647,montgomery,0.078,weighted,600,pb14.json,886.9184497596844,-1,29,1.6075096130371094,1712
6648,montgomery,0.078,weighted,600,fb9.json,5739.920142003047,-1,39,9.478643894195557,5771
6649,montgomery,0.078,weighted,600,pb5.json,1499.0840345517322,-1,77,3.443669080734253,738
6650,montgomery,0.078,weighted,600,fb9.json,5739.920142003047,-1,39,9.329687833786009,5771
6651,montgomery,0.078,weighted,600,pb5.json,1499.0840345517322,-1,77,3.465007066726685,738
6652,montgomery,0.078,weighted,600,rb9.json,5554.852951358471,-1,25,9.180967569351195,5985
6653,montgomery,0.078,weighted,600,mb12.json,3128.400250163469,-1,28,4.366567134857179,4648
6654,montgomery,0.078,weighted,600,ga8.json,4888.187796808281,-1,51,6.391715049743652,3200
6655,montgomery,0.078,weighted,600,ga8.json,4888.187796808281,-1,51,6.479829788208008,3200
6656,montgomery,0.078,weighted,600,mb12.json,3128.400250163469,-1,28,4.110510110855103,4648
6657,montgomery,0.078,weighted,600,rb9.json,5554.852951358471,-1,25,9.570204257965088,5985
6658,montgomery,0.078,weighted,600,cb15.json,363.3626838283442,-1,25,0.5171489715576172,783
6659,montgomery,0.078,weighted,600,cb15.json,363.3626838283442,-1,25,0.8211555480957031,783
6660,montgomery,0.078,weighted,600,xb7.json,2034.0353813621896,-1,59,4.015914916992188,1038
6661,montgomery,0.078,weighted,600,xb7.json,2034.0353813621896,-1,59,4.519253969192505,1038
6662,montgomery,0.078,weighted,600,kb15.json,653.5322559960588,-1,26,1.3602972030639648,1305
6663,montgomery,0.078,weighted,600,kb15.json,653.5322559960588,-1,26,1.220590591430664,1305
6664,montgomery,0.078,weighted,600,vb7.json,3208.0061727866805,-1,68,5.382405996322632,1835
6665,montgomery,0.078,weighted,600,vb7.json,3208.0061727866805,-1,68,5.434953451156616,1835
6666,montgomery,0.078,weighted,600,mb10.json,5874.3370630994605,-1,29,9.469641447067259,5784
6667,montgomery,0.078,weighted,600,da7.json,3224.0318902635913,-1,54,5.385849714279175,1790
6668,montgomery,0.078,weighted,600,da7.json,3224.0318902635913,-1,54,5.39948034286499,1790
6669,montgomery,0.078,weighted,600,mb10.json,5874.3370630994605,-1,29,9.323948144912722,5784
6670,montgomery,0.078,weighted,600,qa10.json,5843.553917094395,-1,28,9.30256986618042,6221
6671,montgomery,0.078,weighted,600,qa10.json,5843.553917094395,-1,28,9.267726659774778,6221
6672,montgomery,0.078,weighted,600,ya5.json,2017.0927737835455,-1,58,4.5572919845581055,1010
6673,montgomery,0.078,weighted,600,ya5.json,2017.0927737835455,-1,58,4.215515613555908,1010
6674,montgomery,0.078,weighted,600,pa12.json,1978.679152043044,-1,27,2.6439154148101807,3327
6675,montgomery,0.078,weighted,600,kb8.json,4608.037847165572,-1,58,6.454988956451416,2863
6676,montgomery,0.078,weighted,600,kb8.json,4608.037847165572,-1,58,6.08662223815918,2863
6677,montgomery,0.078,weighted,600,pa12.json,1978.679152043044,-1,27,2.7255754470825195,3327
