,G,p,budget,from_cache,method,trial_id,min_exposed_value,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP
38,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,greedy_weighted,1,"(1231.2, 48.950995904067156)",467.0663311489278,-1,45,3114,28438,29580,130230,0.5626435150006728,4988.843117344151
39,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,greedy_weighted,0,"(114.8, 13.442470011125186)",85.48601574844717,-1,27,1584,7527,12026,19278,0.5213287160004256,931.947151450723
40,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,greedy_weighted,1,"(117.6, 4.277849927241487)",85.48601574844717,-1,27,1584,7527,12026,19278,0.5515994440011127,931.947151450723
41,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,random,0,"(159.8, 12.070625501605125)",105.54329178514915,15,27,1584,7527,12026,19278,1.1724317819989665,952.004427487425
42,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,greedy_weighted,0,"(1247, 59.99166608788257)",467.0663311489278,-1,45,3114,28438,29580,130230,1.0256608859999687,4988.843117344151
43,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,mip_gurobi,1,"(890.8, 16.543881044059763)",376.84522525138067,184,32,4854,31285,22040,82500,19.118137655999817,6079.534783468005
44,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/qa7.json,mip_gurobi,0,"(1273.4, 47.1412770297963)",452.7656605155771,250,59,2359,25664,32967,145552,28.601316038000732,4186.409030481611
45,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,dependent,1,"(122.2, 8.28854631404084)",84.21724431271701,249,27,1584,7527,12026,19278,1.8426459309994243,930.6783800149929
46,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ma9.json,mip_gurobi,0,"(913.8, 30.711561340967346)",376.84522525138067,184,32,4854,31285,22040,82500,18.98757907699837,6079.534783468005
47,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,dependent,0,"(125, 9.797958971132712)",84.47619749573276,251,27,1584,7527,12026,19278,1.81781777300057,930.9373331980087
48,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,mip_gurobi,0,"(560.6, 25.08585258666725)",274.30077657547,187,27,5736,26662,16890,47422,11.785185956001444,5288.797412558985
49,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,random,0,"(1343.4, 37.427262790645)",526.5482456698667,5,44,3014,28425,29804,130469,6.2135250360006475,5069.517967589661
50,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,dependent,0,"(1236.2, 44.20633438773226)",466.591467004921,160,45,3114,28438,29580,130230,11.806354717999055,4988.368253200144
51,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ja11.json,mip_gurobi,1,"(545, 15.459624833740307)",274.30077657547,187,27,5736,26662,16890,47422,11.956337416999304,5288.797412558985
